,season,name,games_played,rank,field_goal_percentage,free_throw_percentage,opp_field_goal_percentage,opp_free_throw_percentage,opp_three_point_field_goal_percentage,opp_two_point_field_goal_percentage,three_point_field_goal_percentage,two_point_field_goal_percentage,assists,blocks,defensive_rebounds,field_goal_attempts,field_goals,free_throw_attempts,free_throws,minutes_played,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goals,opp_free_throw_attempts,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,personal_fouls,points,steals,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goals,Champion,Probs
0,1995.0,Sacramento Kings,82.0,19.0,0.46799999999999997,0.711,0.45299999999999996,0.741,0.304,0.48700000000000004,0.34600000000000003,0.491,22.24390243902439,5.573170731707317,28.353658536585368,78.8170731707317,36.890243902439025,28.25609756097561,20.085365853658537,242.1341463414634,13.085365853658537,22.195121951219512,6.280487804878049,27.658536585365855,79.86585365853658,36.146341463414636,30.158536585365855,22.353658536585368,13.963414634146341,24.79268292682927,99.2439024390244,9.21951219512195,15.121951219512194,4.597560975609756,41.6219512195122,16.4390243902439,64.7439024390244,31.548780487804876,24.878048780487806,98.2439024390244,7.926829268292683,12.646341463414634,4.378048780487805,41.4390243902439,17.670731707317074,66.17073170731707,32.51219512195122,0.0,0.2
1,1994.0,Sacramento Kings,82.0,14.0,0.452,0.731,0.479,0.722,0.359,0.494,0.353,0.46399999999999997,24.74390243902439,4.329268292682927,28.646341463414632,85.6951219512195,38.76829268292683,27.951219512195124,20.4390243902439,240.91463414634146,13.682926829268293,25.024390243902438,6.073170731707317,31.390243902439025,85.57317073170732,40.97560975609756,29.853658536585368,21.548780487804876,14.5,23.109756097560975,106.8780487804878,9.097560975609756,9.402439024390244,3.3780487804878048,45.890243902439025,16.353658536585368,76.17073170731707,37.59756097560975,24.134146341463413,101.10975609756098,8.158536585365853,8.890243902439025,3.1341463414634148,42.329268292682926,16.25609756097561,76.8048780487805,35.63414634146341,0.0,0.08
2,1990.0,Miami Heat,82.0,24.0,0.461,0.687,0.488,0.755,0.342,0.498,0.293,0.46799999999999997,23.865853658536587,4.7317073170731705,28.20731707317073,89.57317073170732,41.25609756097561,24.73170731707317,16.98780487804878,240.609756097561,15.146341463414634,25.317073170731707,5.817073170731708,30.085365853658537,85.48780487804878,41.68292682926829,33.1219512195122,25.0,13.71951219512195,21.71951219512195,110.29268292682927,10.487804878048781,5.634146341463414,1.9268292682926829,43.80487804878049,17.963414634146343,79.85365853658537,39.75609756097561,25.890243902439025,100.57317073170732,8.975609756097562,3.658536585365854,1.0731707317073171,43.353658536585364,18.98780487804878,85.91463414634147,40.18292682926829,0.0,0.12
3,1980.0,Philadelphia 76ers,82.0,10.0,0.49200000000000005,0.772,0.455,0.765,0.271,0.46299999999999997,0.21600000000000003,0.49700000000000005,27.146341463414632,7.951219512195122,32.13414634146341,87.26829268292683,42.96341463414634,29.646341463414632,22.878048780487806,242.1341463414634,14.475609756097562,25.475609756097562,4.7317073170731705,28.682926829268293,92.20731707317073,42.0,26.158536585365855,20.0,16.073170731707318,25.609756097560975,104.91463414634147,10.682926829268293,3.3780487804878048,0.9146341463414634,44.75609756097561,19.036585365853657,88.82926829268293,41.08536585365854,22.682926829268293,109.13414634146342,9.658536585365853,1.524390243902439,0.32926829268292684,46.609756097560975,20.829268292682926,85.7439024390244,42.63414634146341,0.0,0.74
4,1995.0,Charlotte Hornets,82.0,15.0,0.474,0.777,0.45399999999999996,0.74,0.33299999999999996,0.48200000000000004,0.397,0.495,25.26829268292683,4.865853658536586,29.20731707317073,78.51219512195122,37.207317073170735,24.902439024390244,19.353658536585368,241.52439024390245,10.146341463414634,23.146341463414632,4.487804878048781,28.841463414634145,83.01219512195122,37.65853658536585,22.670731707317074,16.76829268292683,13.439024390243903,22.670731707317074,97.3170731707317,6.524390243902439,15.71951219512195,5.2317073170731705,42.28048780487805,14.829268292682928,67.29268292682927,32.426829268292686,20.548780487804876,100.59756097560975,7.560975609756097,17.182926829268293,6.829268292682927,39.353658536585364,14.926829268292684,61.329268292682926,30.378048780487806,0.0,0.39
5,1989.0,Seattle SuperSonics,82.0,7.0,0.47700000000000004,0.746,0.486,0.769,0.311,0.501,0.379,0.488,25.402439024390244,6.024390243902439,27.29268292682927,91.1951219512195,43.46341463414634,29.01219512195122,21.646341463414632,241.21951219512195,17.036585365853657,23.878048780487806,5.036585365853658,27.463414634146343,86.1829268292683,41.91463414634146,30.353658536585368,23.353658536585368,14.487804878048781,22.9390243902439,109.2439024390244,8.170731707317072,6.621951219512195,2.0609756097560976,41.951219512195124,18.9390243902439,79.5609756097561,39.853658536585364,24.71951219512195,112.14634146341463,10.536585365853659,9.439024390243903,3.573170731707317,44.329268292682926,17.109756097560975,81.7560975609756,39.890243902439025,0.0,0.4
6,2015.0,Houston Rockets,82.0,6.0,0.444,0.715,0.44299999999999995,0.7509999999999999,0.322,0.48700000000000004,0.348,0.506,22.195121951219512,4.963414634146342,32.0,83.3170731707317,36.97560975609756,26.01219512195122,18.597560975609756,241.52439024390245,11.682926829268293,21.365853658536587,5.329268292682927,31.963414634146343,85.15853658536585,37.707317073170735,23.5609756097561,17.695121951219512,11.865853658536585,21.097560975609756,100.48780487804878,8.853658536585366,22.9390243902439,7.378048780487805,43.829268292682926,16.365853658536587,62.21951219512195,30.329268292682926,21.98780487804878,103.92682926829268,9.475609756097562,32.68292682926829,11.378048780487806,43.68292682926829,16.658536585365855,50.63414634146341,25.597560975609756,0.0,0.36
7,1981.0,Boston Celtics,82.0,8.0,0.504,0.752,0.462,0.769,0.21600000000000003,0.467,0.27,0.513,26.853658536585368,7.2439024390243905,29.5609756097561,86.57317073170732,43.670731707317074,28.890243902439025,21.71951219512195,241.21951219512195,14.085365853658537,23.048780487804876,4.280487804878049,26.51219512195122,88.97560975609755,41.1219512195122,27.76829268292683,21.365853658536587,14.536585365853659,25.109756097560975,103.97560975609755,8.975609756097562,1.6951219512195121,0.36585365853658536,41.048780487804876,17.963414634146343,87.28048780487805,40.75609756097561,24.26829268292683,109.85365853658537,8.329268292682928,2.9390243902439024,0.7926829268292683,43.646341463414636,19.23170731707317,83.63414634146342,42.8780487804878,1.0,0.92
8,2006.0,Indiana Pacers,82.0,23.0,0.444,0.737,0.435,0.733,0.34299999999999997,0.45399999999999996,0.349,0.475,19.890243902439025,4.987804878048781,31.20731707317073,76.51219512195122,33.97560975609756,26.317073170731707,19.402439024390244,240.609756097561,10.951219512195122,18.536585365853657,4.865853658536586,29.463414634146343,79.3170731707317,34.52439024390244,25.121951219512194,18.426829268292682,11.804878048780488,21.951219512195124,92.0,8.060975609756097,13.207317073170731,4.524390243902439,41.26829268292683,13.560975609756097,66.10975609756098,30.0,22.20731707317073,93.89024390243902,7.2926829268292686,18.73170731707317,6.536585365853658,42.15853658536585,15.292682926829269,57.78048780487805,27.4390243902439,0.0,0.47
9,2001.0,Houston Rockets,82.0,9.0,0.45299999999999996,0.758,0.449,0.7440000000000001,0.354,0.465,0.35700000000000004,0.48,19.670731707317074,4.365853658536586,30.78048780487805,79.1951219512195,35.890243902439025,25.4390243902439,19.29268292682927,241.82926829268294,11.207317073170731,21.158536585365855,4.878048780487805,29.51219512195122,82.10975609756098,36.829268292682926,22.70731707317073,16.890243902439025,12.048780487804878,21.597560975609756,94.92682926829268,7.378048780487805,12.378048780487806,4.378048780487805,41.5609756097561,13.317073170731707,69.73170731707317,32.451219512195124,20.20731707317073,97.21951219512195,7.158536585365853,17.21951219512195,6.146341463414634,41.98780487804878,14.682926829268293,61.97560975609756,29.74390243902439,0.0,0.34
