,season,name,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,Champion,Probs
763,2017.0,Portland Trail Blazers,21.134146341463413,4.975609756097561,33.53658536585366,86.08536585365853,0.45899999999999996,39.548780487804876,23.658536585365855,0.78,18.451219512195124,82.0,243.0487804878049,10.121951219512194,20.585365853658537,5.2560975609756095,33.8780487804878,86.20731707317073,0.455,39.18292682926829,26.5,0.785,20.804878048780488,10.121951219512194,19.804878048780488,108.46341463414635,7.719512195121951,25.097560975609756,0.37,9.292682926829269,44.0,12.829268292682928,61.109756097560975,0.489,29.890243902439025,21.170731707317074,107.9390243902439,8.0,7.0,27.70731707317073,0.375,10.390243902439025,43.65853658536585,13.731707317073171,58.3780487804878,0.499,29.158536585365855,0.0,0.31
764,1980.0,Chicago Bulls,26.24390243902439,4.780487804878049,30.0609756097561,84.67073170731707,0.484,41.0,31.609756097560975,0.779,24.621951219512194,82.0,242.7439024390244,13.597560975609756,25.71951219512195,6.073170731707317,28.597560975609756,88.07317073170732,0.496,43.71951219512195,28.75609756097561,0.768,22.085365853658537,14.134146341463415,26.865853658536587,110.1829268292683,10.317073170731707,2.426829268292683,0.271,0.6585365853658537,42.73170731707317,18.817073170731707,85.64634146341463,0.503,43.0609756097561,26.170731707317074,107.47560975609755,17.0,8.585365853658537,3.3536585365853657,0.255,0.8536585365853658,43.65853658536585,20.536585365853657,81.3170731707317,0.494,40.146341463414636,0.0,0.22
765,2011.0,Milwaukee Bucks,18.841463414634145,4.865853658536586,30.24390243902439,79.8048780487805,0.43,34.31707317073171,22.9390243902439,0.757,17.353658536585368,82.0,241.82926829268294,10.512195121951219,20.20731707317073,4.780487804878049,32.0609756097561,77.34146341463415,0.447,34.5609756097561,23.73170731707317,0.77,18.26829268292683,10.195121951219512,20.658536585365855,92.71951219512195,6.182926829268292,15.963414634146341,0.33399999999999996,5.329268292682927,42.25609756097561,15.182926829268293,61.3780487804878,0.47600000000000003,29.23170731707317,20.51219512195122,91.8780487804878,30.0,7.524390243902439,17.24390243902439,0.342,5.890243902439025,40.75609756097561,13.451219512195122,62.5609756097561,0.45399999999999996,28.426829268292682,0.0,0.3
766,2011.0,Detroit Pistons,21.097560975609756,4.0,27.26829268292683,81.0609756097561,0.46,37.26829268292683,22.609756097560975,0.737,16.670731707317074,82.0,242.4390243902439,11.353658536585366,23.29268292682927,4.646341463414634,30.121951219512194,78.10975609756098,0.486,37.926829268292686,23.926829268292682,0.7659999999999999,18.329268292682926,10.560975609756097,18.841463414634145,100.5609756097561,6.926829268292683,17.817073170731707,0.358,6.378048780487805,40.68292682926829,14.146341463414634,60.292682926829265,0.523,31.548780487804876,19.865853658536587,96.96341463414635,22.0,7.2560975609756095,15.317073170731707,0.376,5.7560975609756095,38.6219512195122,13.012195121951219,65.7439024390244,0.479,31.51219512195122,0.0,0.13
767,1993.0,Sacramento Kings,25.304878048780488,4.2439024390243905,27.817073170731707,88.58536585365853,0.46299999999999997,40.97560975609756,29.841463414634145,0.762,22.74390243902439,82.0,241.21951219512195,13.865853658536585,25.28048780487805,6.719512195121951,31.24390243902439,85.65853658536585,0.48700000000000004,41.707317073170735,33.0609756097561,0.758,25.048780487804876,13.878048780487806,24.51219512195122,111.0609756097561,9.353658536585366,8.292682926829269,0.313,2.597560975609756,45.1219512195122,17.878048780487806,77.36585365853658,0.506,39.109756097560975,25.426829268292682,107.89024390243902,6.0,9.365853658536585,9.609756097560975,0.332,3.1951219512195124,41.68292682926829,16.634146341463413,78.97560975609755,0.478,37.78048780487805,0.0,0.07
768,2013.0,Orlando Magic,22.817073170731707,4.365853658536586,31.853658536585368,84.1951219512195,0.44799999999999995,37.71951219512195,16.573170731707318,0.755,12.512195121951219,82.0,241.21951219512195,10.853658536585366,23.73170731707317,5.2439024390243905,31.926829268292682,83.4390243902439,0.46299999999999997,38.646341463414636,22.085365853658537,0.738,16.29268292682927,10.829268292682928,16.5,101.10975609756098,7.219512195121951,20.98780487804878,0.359,7.524390243902439,42.75609756097561,12.439024390243903,62.451219512195124,0.498,31.121951219512194,19.402439024390244,94.1219512195122,23.0,6.439024390243903,18.74390243902439,0.32899999999999996,6.170731707317073,42.707317073170735,14.524390243902438,65.45121951219512,0.48200000000000004,31.548780487804876,0.0,0.17
769,1991.0,Sacramento Kings,24.28048780487805,6.2560975609756095,27.048780487804876,83.14634146341463,0.45299999999999996,37.63414634146341,25.670731707317074,0.732,18.78048780487805,82.0,240.3048780487805,12.524390243902438,23.317073170731707,5.463414634146342,31.01219512195122,81.54878048780488,0.47,38.31707317073171,32.75609756097561,0.7609999999999999,24.9390243902439,14.195121951219512,22.524390243902438,103.46341463414635,8.524390243902438,5.987804878048781,0.316,1.8902439024390243,45.207317073170735,16.0,75.5609756097561,0.48200000000000004,36.426829268292686,25.304878048780488,96.6829268292683,27.0,7.695121951219512,7.048780487804878,0.374,2.6341463414634148,39.573170731707314,15.512195121951219,76.09756097560975,0.46,35.0,0.0,0.13
770,1995.0,Detroit Pistons,22.829268292682926,5.121951219512195,26.878048780487806,80.89024390243902,0.461,37.31707317073171,23.670731707317074,0.741,17.548780487804876,82.0,240.609756097561,11.682926829268293,24.548780487804876,5.353658536585366,29.658536585365855,79.97560975609755,0.47600000000000003,38.048780487804876,33.170731707317074,0.722,23.9390243902439,13.987804878048781,21.29268292682927,105.5,8.451219512195122,15.060975609756097,0.363,5.463414634146342,43.646341463414636,15.682926829268293,64.91463414634147,0.502,32.58536585365854,26.23170731707317,98.20731707317073,21.0,8.597560975609756,17.024390243902438,0.354,6.024390243902439,38.5609756097561,16.073170731707318,63.86585365853659,0.49,31.29268292682927,0.0,0.08
771,2006.0,Charlotte Bobcats,20.9390243902439,4.317073170731708,27.682926829268293,83.45121951219512,0.433,36.109756097560975,26.658536585365855,0.7290000000000001,19.426829268292682,82.0,242.7439024390244,12.073170731707316,22.9390243902439,5.378048780487805,32.52439024390244,78.17073170731707,0.478,37.3780487804878,27.841463414634145,0.737,20.524390243902438,11.463414634146341,23.524390243902438,100.86585365853658,7.036585365853658,15.670731707317072,0.35600000000000004,5.585365853658536,43.98780487804878,17.853658536585368,62.5,0.509,31.79268292682927,23.902439024390244,96.86585365853658,18.0,10.024390243902438,15.378048780487806,0.33899999999999997,5.219512195121951,39.75609756097561,14.231707317073171,68.07317073170732,0.45399999999999996,30.890243902439025,0.0,0.06
772,2022.0,Indiana Pacers,25.378048780487806,5.573170731707317,32.573170731707314,89.48780487804878,0.46299999999999997,41.4390243902439,21.390243902439025,0.768,16.426829268292682,82.0,242.4390243902439,11.28048780487805,25.097560975609756,4.890243902439025,32.951219512195124,87.95121951219512,0.483,42.5,22.5,0.797,17.926829268292682,10.158536585365853,19.20731707317073,114.9390243902439,8.097560975609756,32.25609756097561,0.37200000000000005,12.012195121951219,43.109756097560975,13.25609756097561,55.69512195121951,0.547,30.48780487804878,20.426829268292682,111.46341463414635,14.0,7.097560975609756,35.353658536585364,0.344,12.158536585365853,43.853658536585364,14.426829268292684,54.13414634146341,0.541,29.28048780487805,0.0,0.38
